0 [1.00e+00, 1.00e+00, 1.00e+00]
1 [9.99e-01, 9.99e-01, 9.99e-01]
2 [9.98e-01, 9.98e-01, 9.98e-01]
3 [9.97e-01, 9.97e-01, 9.97e-01]
4 [9.96e-01, 9.96e-01, 9.96e-01]
5 [9.95e-01, 9.95e-01, 9.96e-01]
6 [9.94e-01, 9.95e-01, 9.95e-01]
7 [9.93e-01, 9.94e-01, 9.94e-01]
8 [9.93e-01, 9.93e-01, 9.94e-01]
9 [9.92e-01, 9.93e-01, 9.93e-01]
10 [9.91e-01, 9.92e-01, 9.93e-01]
11 [9.91e-01, 9.92e-01, 9.92e-01]
12 [9.90e-01, 9.92e-01, 9.91e-01]
13 [9.90e-01, 9.91e-01, 9.90e-01]
14 [9.89e-01, 9.91e-01, 9.90e-01]
15 [9.89e-01, 9.91e-01, 9.89e-01]
16 [9.88e-01, 9.91e-01, 9.88e-01]
17 [9.88e-01, 9.92e-01, 9.87e-01]
18 [9.88e-01, 9.92e-01, 9.86e-01]
19 [9.87e-01, 9.93e-01, 9.85e-01]
20 [9.87e-01, 9.94e-01, 9.84e-01]
21 [9.87e-01, 9.94e-01, 9.82e-01]
22 [9.86e-01, 9.95e-01, 9.81e-01]
23 [9.86e-01, 9.96e-01, 9.80e-01]
24 [9.86e-01, 9.97e-01, 9.79e-01]
25 [9.85e-01, 9.99e-01, 9.78e-01]
26 [9.85e-01, 1.00e+00, 9.77e-01]
27 [9.85e-01, 1.00e+00, 9.75e-01]
28 [9.84e-01, 1.00e+00, 9.74e-01]
29 [9.84e-01, 1.00e+00, 9.73e-01]
30 [9.83e-01, 1.00e+00, 9.72e-01]
31 [9.83e-01, 1.01e+00, 9.70e-01]
32 [9.83e-01, 1.01e+00, 9.69e-01]
33 [9.82e-01, 1.01e+00, 9.68e-01]
34 [9.82e-01, 1.01e+00, 9.66e-01]
35 [9.81e-01, 1.01e+00, 9.65e-01]
36 [9.81e-01, 1.01e+00, 9.63e-01]
37 [9.81e-01, 1.01e+00, 9.62e-01]
38 [9.81e-01, 1.02e+00, 9.61e-01]
39 [9.80e-01, 1.02e+00, 9.59e-01]
40 [9.80e-01, 1.02e+00, 9.58e-01]
41 [9.80e-01, 1.02e+00, 9.56e-01]
42 [9.79e-01, 1.02e+00, 9.55e-01]
43 [9.79e-01, 1.02e+00, 9.53e-01]
44 [9.78e-01, 1.02e+00, 9.52e-01]
45 [9.77e-01, 1.02e+00, 9.50e-01]
46 [9.76e-01, 1.02e+00, 9.49e-01]
47 [9.75e-01, 1.03e+00, 9.47e-01]
48 [9.74e-01, 1.03e+00, 9.46e-01]
49 [9.73e-01, 1.03e+00, 9.44e-01]
50 [9.72e-01, 1.03e+00, 9.42e-01]
51 [9.70e-01, 1.03e+00, 9.41e-01]
52 [9.69e-01, 1.03e+00, 9.39e-01]
53 [9.67e-01, 1.03e+00, 9.38e-01]
54 [9.66e-01, 1.03e+00, 9.36e-01]
55 [9.64e-01, 1.03e+00, 9.34e-01]
56 [9.63e-01, 1.03e+00, 9.33e-01]
57 [9.61e-01, 1.03e+00, 9.31e-01]
58 [9.60e-01, 1.03e+00, 9.29e-01]
59 [9.58e-01, 1.03e+00, 9.28e-01]
60 [9.56e-01, 1.04e+00, 9.26e-01]
61 [9.55e-01, 1.04e+00, 9.24e-01]
62 [9.53e-01, 1.04e+00, 9.23e-01]
63 [9.52e-01, 1.04e+00, 9.21e-01]
64 [9.50e-01, 1.04e+00, 9.19e-01]
65 [9.49e-01, 1.04e+00, 9.18e-01]
66 [9.47e-01, 1.04e+00, 9.16e-01]
67 [9.45e-01, 1.04e+00, 9.14e-01]
68 [9.44e-01, 1.04e+00, 9.13e-01]
69 [9.42e-01, 1.04e+00, 9.11e-01]
70 [9.41e-01, 1.04e+00, 9.09e-01]
71 [9.39e-01, 1.04e+00, 9.08e-01]
72 [9.38e-01, 1.04e+00, 9.06e-01]
73 [9.36e-01, 1.04e+00, 9.04e-01]
74 [9.35e-01, 1.04e+00, 9.02e-01]
75 [9.33e-01, 1.04e+00, 9.01e-01]
76 [9.32e-01, 1.04e+00, 8.99e-01]
77 [9.30e-01, 1.04e+00, 8.97e-01]
78 [9.29e-01, 1.04e+00, 8.96e-01]
79 [9.27e-01, 1.04e+00, 8.94e-01]
80 [9.26e-01, 1.04e+00, 8.92e-01]
81 [9.24e-01, 1.04e+00, 8.90e-01]
82 [9.23e-01, 1.04e+00, 8.89e-01]
83 [9.21e-01, 1.04e+00, 8.87e-01]
