9.033766388893127441e-01 3.050120174884796143e-01 9.861403107643127441e-01 4.303263872861862183e-02 1.862670445442199707e+01
9.806110262870788574e-01 6.492928415536880493e-02 9.892703294754028320e-01 3.691191598773002625e-02 2.153752803802490234e+00
9.858881831169128418e-01 4.568465799093246460e-02 9.900465011596679688e-01 3.565489500761032104e-02 1.836702823638916016e+00
9.885299801826477051e-01 3.721288964152336121e-02 9.910857677459716797e-01 3.456889465451240540e-02 2.327506780624389648e+00
9.896336793899536133e-01 3.332038596272468567e-02 9.908354282379150391e-01 3.810271620750427246e-02 2.117970943450927734e+00
9.911839365959167480e-01 2.821855060756206512e-02 9.917368888854980469e-01 3.837005421519279480e-02 2.187168836593627930e+00
9.916346073150634766e-01 2.752439863979816437e-02 9.913361668586730957e-01 4.095383733510971069e-02 1.929080486297607422e+00
9.918913245201110840e-01 2.622329816222190857e-02 9.908728599548339844e-01 4.078588634729385376e-02 2.107522249221801758e+00
9.924398660659790039e-01 2.504507824778556824e-02 9.915115237236022949e-01 3.951986134052276611e-02 1.886416912078857422e+00
9.925714135169982910e-01 2.537891641259193420e-02 9.902845025062561035e-01 4.667766392230987549e-02 2.106306791305541992e+00
9.930763244628906250e-01 2.363069541752338409e-02 9.913362264633178711e-01 5.406653508543968201e-02 2.295478105545043945e+00
9.933892488479614258e-01 2.262075245380401611e-02 9.921500086784362793e-01 4.216710478067398071e-02 1.967116355895996094e+00
9.931243062019348145e-01 2.370382100343704224e-02 9.912359714508056641e-01 5.039613693952560425e-02 1.954739570617675781e+00
9.932912588119506836e-01 2.327906899154186249e-02 9.914487600326538086e-01 4.755245149135589600e-02 1.917076587677001953e+00
9.937710762023925781e-01 2.207264862954616547e-02 9.915739893913269043e-01 5.270793288946151733e-02 1.827785968780517578e+00
9.938775300979614258e-01 2.178658545017242432e-02 9.911608695983886719e-01 5.687654390931129456e-02 2.025543689727783203e+00
